"","state","week","year","cases","date","lon","lat"
"232","Alabama",2,1943,0,1943-01-09,-86.8283850275618,32.7888808009156
"233","Alabama",3,1943,2,1943-01-16,-86.8283850275618,32.7888808009156
"234","Alabama",4,1943,1,1943-01-23,-86.8283850275618,32.7888808009156
"235","Alabama",5,1943,1,1943-01-30,-86.8283850275618,32.7888808009156
"236","Alabama",6,1943,0,1943-02-06,-86.8283850275618,32.7888808009156
"237","Alabama",7,1943,1,1943-02-13,-86.8283850275618,32.7888808009156
"238","Alabama",8,1943,1,1943-02-20,-86.8283850275618,32.7888808009156
"239","Alabama",9,1943,0,1943-02-27,-86.8283850275618,32.7888808009156
"240","Alabama",10,1943,1,1943-03-06,-86.8283850275618,32.7888808009156
"241","Alabama",11,1943,1,1943-03-13,-86.8283850275618,32.7888808009156
"242","Alabama",12,1943,0,1943-03-20,-86.8283850275618,32.7888808009156
"243","Alabama",13,1943,0,1943-03-27,-86.8283850275618,32.7888808009156
"244","Alabama",14,1943,0,1943-04-03,-86.8283850275618,32.7888808009156
"245","Alabama",15,1943,2,1943-04-10,-86.8283850275618,32.7888808009156
"246","Alabama",16,1943,3,1943-04-17,-86.8283850275618,32.7888808009156
"247","Alabama",17,1943,0,1943-04-24,-86.8283850275618,32.7888808009156
"248","Alabama",18,1943,1,1943-05-01,-86.8283850275618,32.7888808009156
"249","Alabama",19,1943,0,1943-05-08,-86.8283850275618,32.7888808009156
"250","Alabama",20,1943,0,1943-05-15,-86.8283850275618,32.7888808009156
"251","Alabama",21,1943,0,1943-05-22,-86.8283850275618,32.7888808009156
"252","Alabama",22,1943,0,1943-05-29,-86.8283850275618,32.7888808009156
"253","Alabama",23,1943,0,1943-06-05,-86.8283850275618,32.7888808009156
"254","Alabama",24,1943,2,1943-06-12,-86.8283850275618,32.7888808009156
"255","Alabama",25,1943,0,1943-06-19,-86.8283850275618,32.7888808009156
"256","Alabama",26,1943,3,1943-06-26,-86.8283850275618,32.7888808009156
"257","Alabama",27,1943,0,1943-07-03,-86.8283850275618,32.7888808009156
"258","Alabama",28,1943,1,1943-07-10,-86.8283850275618,32.7888808009156
"259","Alabama",29,1943,1,1943-07-17,-86.8283850275618,32.7888808009156
"260","Alabama",30,1943,0,1943-07-24,-86.8283850275618,32.7888808009156
"261","Alabama",31,1943,2,1943-07-31,-86.8283850275618,32.7888808009156
"262","Alabama",32,1943,2,1943-08-07,-86.8283850275618,32.7888808009156
"263","Alabama",33,1943,2,1943-08-14,-86.8283850275618,32.7888808009156
"264","Alabama",34,1943,2,1943-08-21,-86.8283850275618,32.7888808009156
"265","Alabama",35,1943,3,1943-08-28,-86.8283850275618,32.7888808009156
"266","Alabama",36,1943,0,1943-09-04,-86.8283850275618,32.7888808009156
"267","Alabama",37,1943,2,1943-09-11,-86.8283850275618,32.7888808009156
"268","Alabama",38,1943,0,1943-09-18,-86.8283850275618,32.7888808009156
"269","Alabama",39,1943,1,1943-09-25,-86.8283850275618,32.7888808009156
"270","Alabama",40,1943,3,1943-10-02,-86.8283850275618,32.7888808009156
"271","Alabama",41,1943,0,1943-10-09,-86.8283850275618,32.7888808009156
"272","Alabama",42,1943,1,1943-10-16,-86.8283850275618,32.7888808009156
"273","Alabama",43,1943,0,1943-10-23,-86.8283850275618,32.7888808009156
